id,name,address,latitude,longitude,phone,website,therapy_types,insurance_accepted,diagnoses_treated,age_groups,regional_centers,description,type,email,created_at,updated_at
b6fd6485-fde7-40ea-8276-d9ee7bfab2e6,ABA Works,"25124 Narbonne Ave Ste 102, Lomita,, CA 90717",33.79631170,-118.31985440,888-286-8715,https://aba-works.com/,"['ABA therapy', 'Speech therapy']","Private Insurance:  Molina, LA Care, Blue Shield of CA, Anthem/Blue Cross, Magellan, HealthNet, MHN, Blue Shield Promise Health Plan",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:38:06.616618+00:00,2025-11-05T05:08:29.997355+00:00
e5a7a892-fdeb-4022-96fe-c6cd791d76b2,"Aba Works, Inc.","{""zip"": ""90717"", ""city"": ""Lomita"", ""state"": ""CA"", ""street"": ""25124 Narbonne Ave Ste 102""}",33.79604100,-118.31949800,888-286-8715,https://aba-works.com/,[],"{MHN,Magellan,Medicaid,""Blue Cross"",Molina,""Blue Shield"",Anthem}",[],[],locations.ProviderRegionalCenter.None,LONG BEACH,Regional Center,,2025-08-07T22:34:18.964462+00:00,2025-11-05T05:08:29.896203+00:00
0036b93e-12d6-4fd6-8653-a4010b4146df,Above & Beyond Therapy,"17620 Sherman Way Suite 215a, Van Nuys, CA 91406",34.20092000,-118.51700300,877-847-7757,https://aboveandbeyondbt.com/,"['ABA therapy', 'Parent Coaching', 'FBAs']","Anthem, MHN, Aetna, Healthnet, LA Care Health Plan, Magellan Healthcare",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.064579+00:00,2025-11-05T05:08:30.064586+00:00
d8453173-de16-4706-8c63-cc2ebc07762f,ABS Kids,"5143 D St
Chino CA 91710-4185",34.01347400,-117.69274700,858-264-5858,https://www.abskids.com/,['ABA therapy'],"Regional Center, Private Pay",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.836565+00:00,2025-11-05T05:08:29.836098+00:00
76d1b798-22e1-40a4-8a8a-ff55a1f68bb0,Accel Therapies,"{""zip"": ""92868"", ""city"": ""Orange"", ""state"": ""CA"", ""street"": ""140 S Flower St Suite 100""}",33.78709400,-117.87754600,949-630-8290,https://acceltherapies.com/,[],"{Aetna,Optum,Magellan,""Blue Shield"",""Blue Cross Blue Shield"",""Blue Cross"",CalOptima,Tricare,Medicaid,Anthem}",[],[],locations.ProviderRegionalCenter.None,"EAST LA (LAKEWOOD,NORWALK,DOWNEY,ETC.) & SOUTH BAY (TORRANCE,LONG BEACH,CARSON,ETC.)",Service Provider,,2025-08-07T22:34:11.730301+00:00,2025-11-05T05:08:29.863796+00:00
ebd0a8b3-aa07-44ba-8b45-f8a59853971f,"Accelerated Behavioral Change, Inc.","{""zip"": ""91436"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""16400 Ventura Blvd UNIT 327""}",34.15691200,-118.49041400,747-221-4222,http://www.abcspectrum.com/,[],{},[],[],locations.ProviderRegionalCenter.None,SAN FERNANDO VALLEY,Service Provider,,2025-08-07T22:34:18.964939+00:00,2025-11-05T05:08:29.888598+00:00
d610527e-33d6-4341-9d56-c358673aa1e8,"Acceleration Behavioral Therapies, Inc.","{""zip"": ""91436"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""16501 Ventura Blvd suite 400""}",34.15824300,-118.49293100,818-356-8106,https://www.accelerationbt.com/,[],{},[],[],locations.ProviderRegionalCenter.None,SAN FERNANDO VALLEY,Service Provider,,2025-08-07T22:34:11.701628+00:00,2025-11-05T05:08:30.014420+00:00
ba8cfac4-4ed4-43a8-b11a-12e8fdc15aa0,ACES - Autism Comprehensive Educational Services - Phillips Ranch,"21 Rancho Camino Dr Pomona, CA 91766-7019

 17462 Colima Rd
Rowland Heights CA 91748-1633",33.97625100,-117.90534400,"855-223-7123 (Pomona)

855-223-7123 (Rowland Heights)",https://www.acesaba.com/locations/phillips-ranch,['ABA therapy'],"Regional Center, Private Pay, Medicaid",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.914403+00:00,2025-11-05T05:08:29.762201+00:00
464386eb-c060-4440-afd4-4bb1fd5cc52c,ACES ABA - Autism Therapy Center,"16360 Roscoe Blvd #100, Van Nuys, CA 91406",34.20126700,-118.46621100,818-672-7002,https://www.acesaba.com/locations,['ABA therapy'],"Private Insurance, Medicaid",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.068912+00:00,2025-11-05T05:08:30.068919+00:00
dccd3cd0-ba8c-45f3-a582-5ca984ecac8a,"Aces Comprehensive Educational Services, Inc. Dba","{""zip"": ""91406"", ""city"": ""Van Nuys"", ""state"": ""CA"", ""street"": ""16360 Roscoe Blvd #100""}",34.22072700,-118.48904500,949-833-2237,https://www.acesaba.com/location-sfv/,[],{},[],[],locations.ProviderRegionalCenter.None,"GATEWAY CITIES,POMONA VALLEY",Service Provider,,2025-08-07T22:34:18.993019+00:00,2025-11-05T05:08:29.759078+00:00
4ec3bbd2-a650-4edc-90fb-449facd80873,ACES- Autism Comprehensive Educational Services - Long Beach,3431 Cherry Ave Long Beach CA 90807-4911,33.81935020,-118.16773860,855-223-7123,https://www.acesaba.com/locations/long-beach,['ABA therapy'],"Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T19:57:27.798764+00:00,2025-11-05T05:08:29.800416+00:00
7b8cdebc-7754-4154-8324-a71820d24275,ACES- Autism Comprehensive Educational Services - Long Beach,"3431 Cherry Ave Long Beach, CA 90807-4911",33.81935020,-118.16773860,855-223-7123,https://www.acesaba.com/locations/long-beach,['ABA therapy'],"Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:01:10.261468+00:00,2025-11-05T05:08:29.839168+00:00
2175f3f4-83b2-47f9-b486-689f276fd2ac,Achieve Speech Associates,"16550 Ventura Blvd, Suite 405, Encino, CA 91436",34.15756700,-118.49428600,310-402-3775,https://achievespeech.com/,"['Social Skills Groups', 'Early Intervention', 'Speech therapy']",Private Pay,[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.075736+00:00,2025-11-05T05:08:30.075742+00:00
24410a35-6c37-4980-966a-b9c97a796962,"Advanced For Behavior & Educational Development & Intervention, Inc. (Abedi)","{""zip"": ""91316"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""17203 Ventura Blvd #3""}",34.16106400,-118.50793700,949-250-1101,http://www.teamabi.com/,[],{},[],[],locations.ProviderRegionalCenter.None,SAN FERNANDO VALLEY,Regional Center,,2025-08-07T22:34:18.967193+00:00,2025-11-05T05:08:29.887756+00:00
7de06e0b-58e8-4d2e-b94c-ed988a277b32,Advanced Pediatric Behavioral Health,"{""zip"": ""91436"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""15720 Ventura Blvd #210""}",34.15499800,-118.47572100,818-646-9229,https://advancedpsychiatryassociates.com/,[],{Medicare},[],[],locations.ProviderRegionalCenter.None,SAN FERNANDO VALLEY,Service Provider,,2025-08-07T22:34:11.702294+00:00,2025-11-05T05:08:29.822882+00:00
659c87d4-21e0-43e8-9206-6e4a05640a4b,All Care Therapies,"6420 Wilshire Blvd Suite 600, Los Angeles, CA 90048",34.06345200,-118.36919100,877-757-8353,https://allcaretherapies.com/en-us/,"['Physical therapy', 'Occupational therapy']","Medi-Cal/Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.079616+00:00,2025-11-05T05:08:30.079619+00:00
e7474e9b-d191-452b-9483-7bb5815f86af,All Care Therapies,"5450 W Pico Blvd Ste 700, Los Angeles, California, United States 90020-2764",34.04846500,-118.35728100,877-757-8353,https://allcaretherapies.com/en-us/,"['Speech therapy', 'Occupational therapy', 'Feeding Therapy']","Medi-Cal/Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.078914+00:00,2025-11-05T05:08:30.078918+00:00
6af3700f-d31c-46b9-a65b-d42bddae3daf,All Care Therapies,"4300 Long Beach Blvd # 700, Long Beach,, CA 90807",33.83739900,-118.19029200,877-757-8353,https://allcaretherapies.com/en-us/?utm_source=google&utm_medium=gmb_longbeach,"['Occupational therapy', 'Physical therapy', 'Speech therapy']","Medi-Cal/Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:38:35.066775+00:00,2025-11-05T05:08:30.011214+00:00
28d07070-24b7-402e-b722-90d553e9bce6,All Care Therapies,"8550 Balboa Blvd Ste 242, Northridge, CA 9132",34.22622800,-118.50144000,877-757-8353,https://allcaretherapies.com/en-us/,['Physical therapy'],"Medi-Cal/Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.081313+00:00,2025-11-05T05:08:30.081318+00:00
b2d01fc3-325f-4a4b-9cf8-7fd9a0cf4841,All Care Therapies,"5806 Pacific Blvd, Huntington Park, CA 90255",33.98979700,-118.22482100,877-757-8353,https://allcaretherapies.com/en-us/,"['Physical therapy', 'Speech therapy', 'Occupational therapy']","Medi-Cal/Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.080402+00:00,2025-11-05T05:08:30.080407+00:00
ea9d75d0-dc1b-4ff6-8ac6-1aff4686e935,Alora Behavioral Health,"1274 Center Ct Dr #211, Covina, Ca 91724",34.09572500,-117.87250100,626-339-4999,https://alorabh.com/,['ABA therapy'],"Regional Center, Private Pay, Medi-Cal, Anthem, Kaiser Permanente, Molina, L.A. Care",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.973845+00:00,2025-11-05T05:08:30.040759+00:00
c5db66fc-e5bc-44ef-8634-3a8e2d72d421,"Alternative Behavior Strategies, Llc (Abs Kids)","{""zip"": ""91791"", ""city"": ""West Covina"", ""state"": ""CA"", ""street"": ""2235 E Garvey Ave N""}",34.07341700,-117.89759800,858-264-5858,https://www.acesaba.com/locations/west-covina,[],"{Aetna,""Blue Cross Blue Shield"",Beacon,""Blue Cross"",""Blue Shield""}",[],[],locations.ProviderRegionalCenter.None,"AZUSA,BALDWIN PARK,CHINO HILLS,CITY OF INDUSTRY,CLAREMONT,COVINA,DIAMOND BAR,GLENDORA,HACIENDA HEIGHTS,LA PUENTE,LA VERNE,POMONA,SAN DIMAS,WALNUT,WEST COVINA",Service Provider,,2025-08-07T22:34:18.993266+00:00,2025-11-05T05:08:30.000266+00:00
47c8b477-4698-493f-beb9-b32152571d0d,Amada ABA,"12215 Telegraph Rd. Suite 210A, Santa Fe Springs, CA 90670",33.94223000,-118.07199800,626-268-1624,https://www.amadaaba.com/,"['ABA therapy', 'Parent child interaction therapy/parent training behavior management']","Regional Center, Private Pay, Medi-Cal",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.972941+00:00,2025-11-05T05:08:30.041544+00:00
042a491f-e65f-4769-aeae-957b7782be65,Ample Joy ABA Consulting Services,"5665 Wilshire Blvd Suite 1049, Los Angeles,, CA 90036",34.06261620,-118.35231480,877-708-2385,https://amplejoyabaservices.com/,"['ABA therapy', 'Occupational therapy', 'Speech therapy']","Medi-Cal, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:35:04.831019+00:00,2025-11-05T05:08:29.948336+00:00
cccbff84-039c-4b2a-9791-a734b8d242b1,"Apple Speech and Educational Services, Inc.","15650 Devonshire St. #208 Granada Hills, CA 91344",34.26490700,-118.52342500,818-488-1145,http://www.applespeechtherapy.com/,['Speech therapy'],Private Pay,[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.082133+00:00,2025-11-05T05:08:30.082137+00:00
f9d49451-855d-4feb-888f-f6ad921f75d3,Appletree Early Intervention Center,"12375 Imperial Hwy., Norwalk,, CA 90650",33.91728580,-118.06904070,562-202-3524,https://www.appletreekidz.com/,"['Occupational therapy', 'Physical therapy', 'Speech therapy']",Private Insurance,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:03:17.796130+00:00,2025-11-05T05:08:29.889406+00:00
4b888858-0d22-4942-8318-04e20635761e,Appletree Early Intervention Center,"12375 Imperial Hwy., Norwalk, CA 90650",33.91728580,-118.06904070,562-202-3524,https://www.appletreekidz.com/,"['Occupational therapy', 'Physical therapy', 'Speech therapy']",Private Insurance,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T19:59:25.907734+00:00,2025-11-05T05:08:29.830694+00:00
1d62f45d-3321-4469-970c-8ddd0d2d78f1,Applied Behavior & Learning Enterprises,"21362 Lassen St, Suite 202, Chatsworth, CA 91311",34.24998800,-118.59729300,818-909-2253,https://www.ablenterprises.com/,"['Adaptive Skills Training', 'Early Intervention', 'FBA', 'Social Skills Training']","Aetna, Anthem Blue Cross Blue Shield, Blue Shield of California, Cigna, LA Care Health Plan, MHN",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.057513+00:00,2025-11-05T05:08:30.057517+00:00
c25ff30f-bd34-482c-8dc3-7a7c12937060,"Applied Behavior & Learning Enterprises, Inc. (Able)","{""zip"": ""91311"", ""city"": ""Chatsworth"", ""state"": ""CA"", ""street"": ""21363 Lassen St # 202""}",34.25024200,-118.59711200,818-909-2253,http://www.ablenterprises.com/,[],{},[],[],locations.ProviderRegionalCenter.None,SAN FERNANDO VALLEY,Service Provider,,2025-08-07T22:34:18.968481+00:00,2025-11-05T05:08:29.884695+00:00
68c53e8b-8cab-40be-a7ce-3eb7c544f603,"Applied Behavior Analysis Consultation Services, Inc.","{""zip"": ""90036"", ""city"": ""Los Angeles"", ""state"": ""CA"", ""street"": ""5665 Wilshire Blvd SUITE 1049""}",34.06286000,-118.35213400,844-422-2435,http://www.amplejoyabaservices.com/,[],{Medi-Cal},[],[],locations.ProviderRegionalCenter.None,EAST LOS ANGELES,Regional Center,,2025-08-07T22:34:18.967904+00:00,2025-11-05T05:08:29.866453+00:00
c8c4cb00-19c4-44cb-88e6-687a3b5e793b,"Applied Behavior Consultants, Inc. (Abc)","{""zip"": ""91730"", ""city"": ""Rancho Cucamonga"", ""state"": ""CA"", ""street"": ""10604 Trademark Pkwy N Ste 308""}",34.08123800,-117.57234000,909-484-2848,http://www.abcreal.com/,[],"{""Covered California"",Medi-Cal}",[],[],locations.ProviderRegionalCenter.None,"ANTELOPE VALLEY,SAN FERNANDO VALLEY,SAN GABRIEL VALLEY",Regional Center,,2025-08-07T22:34:18.968198+00:00,2025-11-05T05:08:29.754875+00:00
d6d4830e-d30a-4265-9768-d8650b33b749,Applied Behavioral Learning Group,"{""zip"": ""91311"", ""city"": ""Chatsworth"", ""state"": ""CA"", ""street"": ""21363 Lassen St # 202""}",34.25024200,-118.59711200,"818-668-3999, 661-837-7090",http://www.ablenterprises.com/,[],{},[],[],locations.ProviderRegionalCenter.None,"ANTELOPE VALLEY,SAN FERNANDO VALLEY",Service Provider,,2025-08-07T22:34:11.731671+00:00,2025-11-05T05:08:29.862711+00:00
661e7881-0a76-440d-8077-29f0de6f9914,As They Grow,"339 E. Rowland St. Covina, CA 91723",34.07924000,-117.88463000,626-339-0268,https://www.atgtherapy.com/,['Occupational therapy'],"Regional Center, Private Pay, Blue Cross, Blue Shield, Anthem, United Healthcare, Health Net",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.954860+00:00,2025-11-05T05:08:30.051016+00:00
b15c311b-fcf8-4d77-a146-71e1d6facd23,Ascent ABA,"In-home, serving Rancho Cucamonga, Chino, Chino Hills, Fontana, Ontario, Rialto, Pomona, Eastvale, Mira Loma & the Inland Empire
11175 Azusa Court, Suite 110, Rancho Cucamonga, CA 91730",34.09919700,-117.57296200,949-668-7004,https://www.ascentaba.com/,['ABA therapy'],"Regional Center, Private Pay",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T18:02:22.965919+00:00,2025-11-05T05:08:30.043827+00:00
2634a866-9d2b-48c9-878a-c6e7c74a3b11,"Assessment, Consultation & Treatment","{""zip"": ""91107"", ""city"": ""Pasadena"", ""state"": ""CA"", ""street"": ""2700 E Foothill Blvd Lobby""}",34.14943500,-118.09464400,626-824-0982,http://www.actpsychology.com/,[],{Medi-Cal},[],[],locations.ProviderRegionalCenter.None,SAN GABRIEL VALLEY,Service Provider,,2025-08-07T22:34:11.703577+00:00,2025-11-05T05:08:29.790549+00:00
79b1c9d0-8df5-4f45-b18e-c43c63929a98,Asteri Behavioral Health,"{""zip"": ""90248"", ""city"": ""Gardena"", ""state"": ""CA"", ""street"": ""879 W 190th St Suite 400""}",33.86013000,-118.28918800,800-400-9748,http://www.asteribehavioraltreatment.com/,[],{},[],[],locations.ProviderRegionalCenter.None,"LANCASTER,PALMDAE,EAST LA,SOUTH LA,LONG BEACH,WEST COVINA,GARDENA,MONROVIA,CLAREMONT,POMONA",Regional Center,,2025-08-07T22:34:11.731994+00:00,2025-11-05T05:08:29.865742+00:00
2d61e732-144b-4a79-abd1-049daff75e83,Asteri Behavioral Treatment Center,"1501 West Cameron Ave Suite 215 West Covina,, CA 91790",34.06833050,-117.94167130,877-272-5818,https://asteribehavioraltreatmentcenter.com/,['ABA therapy'],Private Insurance,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:37:31.813715+00:00,2025-11-05T05:08:29.990315+00:00
0c450e8f-2d6e-40ad-b6ed-5e9e2a6b768c,Atlas ABA,"2707 Empire Ave, Burbank. CA 91504",34.19216800,-118.34057000,818-639-3568,https://atlasaba.com/,"['ABA therapy', 'Social Skills', 'Parent Training']","LA Care, Anthem, Health Net, Magellan",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.070512+00:00,2025-11-05T05:08:30.070515+00:00
1aec4408-eb4a-49d8-a401-fda4dadda37b,Atlas Behavior Services,"{""zip"": ""91504"", ""city"": ""Burbank"", ""state"": ""CA"", ""street"": ""2707 Empire Ave""}",34.19205100,-118.34060200,818-634-1163,https://atlasaba.com/,[],{},[],[],locations.ProviderRegionalCenter.None,SAN FERNANDO VALLEY,Regional Center,,2025-08-07T22:34:18.969030+00:00,2025-11-05T05:08:29.827582+00:00
71027f65-e23a-402f-91bf-210f97cf4a89,Aultruism Inc,"{""zip"": ""92804"", ""city"": ""Anaheim"", ""state"": ""CA"", ""street"": ""10568 Magnolia Ave #102""}",33.80944000,-117.97466500,562-889-4256,http://aultruism.com/,[],{},[],[],locations.ProviderRegionalCenter.None,"ANTELOPE VALLEY,EAST AND SOUTH LOS ANGELES,LONG BEACH AND SURROUNDING AREAS,SOUTH BAY (TORRANCE,CARSON,GARDENA,LAWNDALE,EL SEGUNDO),GATEWAY CITIES (LYNWOOD,DOWNEY,WHITTIER,BELLFLOWER,PARAMOUNT,COMPTON),SOUTHEAST LOS ANGELES (INGLEWOOD,HUNTINGTON PARK,BELL GARDENS,VERNON),SAN GABRIEL VALLEY",Service Provider,,2025-08-07T22:34:18.994635+00:00,2025-11-05T05:08:29.941534+00:00
279d5add-6ab0-4651-9dfc-ea89cfe14910,"Autism Behavior Consultants, Inc.","{""zip"": ""90503"", ""city"": ""Torrance"", ""state"": ""CA"", ""street"": ""2909 Oregon Ct A1""}",33.84661100,-118.33909600,310-320-1333,http://www.autismprograms.com/,[],{},[],[],locations.ProviderRegionalCenter.None,"SOUTH BAY,LAKEWOOD,LONG BEACH",Service Provider,,2025-08-07T22:34:11.704416+00:00,2025-11-05T05:08:29.804903+00:00
d5cbe871-08c6-4720-ac22-c50d68d22966,Autism Behavior Intervention,"{""zip"": ""91316"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""17203 Ventura Blvd #3""}",34.16106400,-118.50793700,844-646-7516,http://www.teamabi.com/,[],{},[],[],locations.ProviderRegionalCenter.None,"SAN FERNANDO VALLEY,CENTRAL LOS ANGELES",Regional Center,,2025-08-07T22:34:11.704675+00:00,2025-11-05T05:08:29.789889+00:00
f3496d5e-61b3-4d2e-b06f-f67c57ba2256,Autism Behavior Services,"{""zip"": ""91436"", ""city"": ""Encino"", ""state"": ""CA"", ""street"": ""16000 Ventura Blvd #1103""}",34.15593100,-118.48184400,855-581-0100,http://www.ahappyfam.com/,[],"{""Health Net"",MHN,Magellan,""Blue Shield""}",[],[],locations.ProviderRegionalCenter.None,WESTSIDE,Service Provider,,2025-08-07T22:34:18.969795+00:00,2025-11-05T05:08:29.870052+00:00
2093e2d9-7374-495b-a8cd-c51a2c2e2afb,Autism Believe Accept Therapy Services,"5967 W 3rd St. Los Angeles,, CA 90036",34.06984540,-118.35024240,323-745-5800,https://www.abatsaba.com/,['ABA therapy'],Private Insurance,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:01:53.537290+00:00,2025-11-05T05:08:29.880180+00:00
0cb65b55-6ba3-4a53-89e1-75dc3964671f,Autism Believe Accept Therapy Services,"5967 W 3rd St. Los Angeles, CA 90036",34.06984540,-118.35024240,323-745-5800,https://www.abatsaba.com/,['ABA therapy'],Private Insurance,[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T19:58:05.126293+00:00,2025-11-05T05:08:29.813329+00:00
68c5f183-cc4c-4d64-abf0-20c5a27f9924,Autism Center for Treatment,"21550 Oxnard St. Suite 940 Woodland Hills, CA 91367",34.17888500,-118.59980500,818-707-1717,https://www.act4autism.com/,['ABA therapy'],"Anthem Blue Cross, Magellan, Cigna, Aetna",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-05T05:08:30.061774+00:00,2025-11-05T05:08:30.061777+00:00
9276d461-3c43-43da-880c-e187af2fc173,Autism Learning Partners,"1055 E Colorado Blvd Suite 560
 Pasadena CA 91106",34.14637300,-118.12873500,888-805-0759,,"['ABA therapy', 'Occupational therapy', 'Physical therapy']","Regional Center, Private Pay, Medicaid",[],[],locations.ProviderRegionalCenter.None,,,,2025-11-03T03:03:56.212629+00:00,2025-11-05T05:08:30.018184+00:00
8b1bf9ae-07c8-4ee6-a161-2c27cc246645,Autism Learning Partners,"{""zip"": ""91206"", ""city"": ""Glendale"", ""state"": ""CA"", ""street"": ""741 Glenvia St Suite 102 & 200""}",34.15574600,-118.24530700,"818-241-6780, 855-976-5740",https://www.autismlearningpartners.com/,[],"Regional Center, Blue Shield",[],[],locations.ProviderRegionalCenter.None,"SAN FERNANDO VALLEY,SANTA CLARITA ANTELOPE VALLEY,CENTRAL LOS ANGELES PASADENA,SOUTH BAY (TORRANCE,LAKEWOOD,LONG BEACH),CENTRAL LOS ANGELES",Regional Center,,2025-10-30T18:02:22.777005+00:00,2025-11-05T05:08:29.776805+00:00
80aa7ef3-9fc5-4973-b508-7040f7dfbbef,Autism Learning Partners,"12432 Bellflower Blvd Downey, CA 90242",33.91943030,-118.12528670,888-805-0759,https://autismlearningpartners.com/locations/california/los-angeles-county/monrovia/,['ABA therapy'],"Medicaid, Private Insurance",[],[],locations.ProviderRegionalCenter.None,,,,2025-10-30T20:00:53.056519+00:00,2025-11-05T05:08:29.728119+00:00
