id,name,phone,center_based_services,areas,address,website_domain,latitude,longitude,specializations,insurance_accepted,services,
11,"ALTERNATIVE BEHAVIOR STRATEGIES, LLC (ABS KIDS)",858-264-5858,,"AZUSA,BALDWIN PARK,CHINO HILLS,CITY OF INDUSTRY,CLAREMONT,COVINA,DIAMOND BAR,GLENDORA,HACIENDA HEIGHTS,LA PUENTE,LA VERNE,POMONA,SAN DIMAS,WALNUT,WEST COVINA","2235 E Garvey Ave N, West Covina, CA 91791, United States",https://www.acesaba.com/locations/west-covina,34.0734165,-117.8975982,,"Aetna, Blue Cross Blue Shield, Beacon, Blue Cross, Blue Shield",,
12,"APPLIED BEHAVIOR ANALYSIS CONSULTATION SERVICES, INC.",844-422-2435,WHITTIER,EAST LOS ANGELES,"5665 Wilshire Blvd SUITE 1049, Los Angeles, CA 90036, United States",http://www.amplejoyabaservices.com/,34.0628598,-118.3521335,,Medi-Cal,,
13,"APPLIED BEHAVIOR CONSULTANTS, INC. (ABC)",909-484-2848,"LANCASTER, SANTA CLARITA, RESEDA, ONTARIO","ANTELOPE VALLEY,SAN FERNANDO VALLEY,SAN GABRIEL VALLEY","10604 Trademark Pkwy N Ste 308, Rancho Cucamonga, CA 91730, United States",http://www.abcreal.com/,34.0812375,-117.57234,,"Covered California, Medi-Cal",,
15,"APPLIED BEHAVIOR & LEARNING ENTERPRISES, INC. (ABLE)",818-909-2253,,SAN FERNANDO VALLEY,"21363 Lassen St # 202, Chatsworth, CA 91311, United States",http://www.ablenterprises.com/,34.2502422,-118.5971117,,,,
16,APPLIED BEHAVIORAL LEARNING GROUP,"818-668-3999, 661-837-7090",,"ANTELOPE VALLEY,SAN FERNANDO VALLEY","21363 Lassen St # 202, Chatsworth, CA 91311, United States",http://www.ablenterprises.com/,34.2502422,-118.5971117,,,,
17,"ASSESSMENT, CONSULTATION & TREATMENT",626-824-0982,,SAN GABRIEL VALLEY,"2700 E Foothill Blvd Lobby, Pasadena, CA 91107, United States",http://www.actpsychology.com/,34.149435,-118.0946436,,Medi-Cal,,
18,ASTERI BEHAVIORAL HEALTH,800-400-9748,WEST COVINA,"LANCASTER,PALMDAE,EAST LA,SOUTH LA,LONG BEACH,WEST COVINA,GARDENA,MONROVIA,CLAREMONT,POMONA","879 W 190th St Suite 400, Gardena, CA 90248, United States",http://www.asteribehavioraltreatment.com/,33.8601303,-118.2891876,,,,
19,ATLAS BEHAVIOR SERVICES,818-634-1163,BURBANK,SAN FERNANDO VALLEY,"2707 Empire Ave, Burbank, CA 91504, United States",https://atlasaba.com/,34.192051,-118.3406019,,,,
20,AULTRUISM INC,562-889-4256,,"ANTELOPE VALLEY,EAST AND SOUTH LOS ANGELES,LONG BEACH AND SURROUNDING AREAS,SOUTH BAY (TORRANCE,CARSON,GARDENA,LAWNDALE,EL SEGUNDO),GATEWAY CITIES (LYNWOOD,DOWNEY,WHITTIER,BELLFLOWER,PARAMOUNT,COMPTON),SOUTHEAST LOS ANGELES (INGLEWOOD,HUNTINGTON PARK,BELL GARDENS,VERNON),SAN GABRIEL VALLEY","10568 Magnolia Ave #102, Anaheim, CA 92804, United States",http://aultruism.com/,33.8094395,-117.9746651,,,,
21,"AUTISM BEHAVIOR CONSULTANTS, INC.",310-320-1333,,"SOUTH BAY,LAKEWOOD,LONG BEACH","2909 Oregon Ct A1, Torrance, CA 90503, United States",http://www.autismprograms.com/,33.846611,-118.339096,,,,
22,AUTISM BEHAVIOR INTERVENTION,844-646-7516,"ENCINO, SANTA CLARITA, GLENDALE","SAN FERNANDO VALLEY,CENTRAL LOS ANGELES","17203 Ventura Blvd #3, Encino, CA 91316, United States",http://www.teamabi.com/,34.1610637,-118.5079366,,,,
23,AUTISM BEHAVIOR SERVICES,855-581-0100,,WESTSIDE,"16000 Ventura Blvd #1103, Encino, CA 91436, United States",http://www.ahappyfam.com/,34.1559313,-118.4818437,,"Health Net, MHN, Magellan, Blue Shield",,
24,AUTISM LEARNING PARTNERS,"818-241-6780, 855-976-5740",GLENDALE DOWNEY,"SAN FERNANDO VALLEY,SANTA CLARITA ANTELOPE VALLEY,CENTRAL LOS ANGELES PASADENA,SOUTH BAY (TORRANCE,LAKEWOOD,LONG BEACH),CENTRAL LOS ANGELES","741 Glenvia St Suite 102 & 200, Glendale, CA 91206, United States",https://www.autismlearningpartners.com/,34.155746,-118.2453072,,,,
25,"AUTISM SPECTRUM INTERVENTIONS, INC.",562-972-4846,,ANTELOPE VALLEY,"713 W Commonwealth Ave, Fullerton, CA 92832, United States",http://asiautism.org/,33.8703823,-117.9382083,,,,
26,AUTISM SPECTRUM THERAPIES,818-565-3442,,SAN GABRIEL VALLEY,"515 E Fairview Ave Building K, San Gabriel, CA 91776, United States",https://autismtherapies.com/,34.0906334,-118.0941807,,"Aetna, Cigna, Blue Shield, Tricare, Medicaid",,
27,"BANAITIS, INC. DBA LIMITLESS MINDS AKA BUILDING BRIDGES",310-658-0390,,WESTSIDE,"11022 Santa Monica Blvd #120, Los Angeles, CA 90025, United States",,34.0481152,-118.4417894,,,,
28,BEHAVIOR AND DEVELOPMENT CENTER,323-208-1551,HUNTINGTON BEACH,LOS ANGELES,"5554 Reseda Blvd #203, Tarzana, CA 91356, United States",http://www.learningandbehavioralcenter.com/,34.1713115,-118.5358242,,,,
29,"BEHAVIOR AND EDUCATION, INC.",310-406-1500,"TORRANCE, LANCASTER, SHERMAN OAKS","SAN FERNANDO VALLEY,ANTELOPE VALLEY,POMONA,SOUTH BAY (TORRANCE,LAKEWOOD,LONG BEACH)","15335 Morrison St Suite #117, Sherman Oaks, CA 91403, United States",http://www.baetherapy.com/,34.1611898,-118.4678665,,,,
30,BEHAVIOR EDUCATION SERVICES TEAM,818-576-0464,,"ANTELOPE VALLEY,SAN FERNANDO VALLEY,CENTRAL LOS ANGELES,WESTSIDE,SAN GABRIEL VALLEY","17037 Chatsworth St # 102, Granada Hills, CA 91344, United States",http://b-est.org/,34.2649581,-118.5036989,,,,
31,"BEHAVIOR FRONTIERS SERVICES, INC.",310-856-0800,"GARDENA, NORWALK","ANTELOPE VALLEY,CENTRAL LOS ANGELES,SOUTH/EAST LOS ANGELES,SAN FERNANDO VALLEY,GATEWAY CITIES/ LONG BEACH,SAN GABRIEL VALLEY,POMONA VALLEY,SOUTH BAY,WEST SIDE","310 W Palmdale Blvd Ste G, Palmdale, CA 93550, United States",https://www.behaviorfrontiers.com/palmdale-california/,34.5812311,-118.1352554,,"MHN, Optum, Magellan, Beacon, Molina, Medi-Cal",,
32,BEHAVIOR GUIDANCE GROUP,310-853-8025,,WESTSIDE,"13101 Washington Blvd, Los Angeles, CA 90066, United States",http://www.behaviorguidance.com/contact-us/,33.9940865,-118.4411179,,,,
33,BEHAVIOR ONE AUTISM SOLUTIONS,877-338-7736,,"SAN GABRIEL VALLEY AND SOUTH LOS ANGELES (LAKEWOOD,LOS ANGELES,ARTESIA,BELL GARDENS,CERRITOS,NORWALK,BELL,COMPTON,WHITTIER,BELLFLOWER,SANTA FE SPRINGS)","155 N Lake Ave 8th floor, Pasadena, CA 91101, United States",https://www.beonebehavior.com/,34.1484728,-118.1328459,,,,
34,"BEHAVIORAL AUTISM THERAPIES, LLC",909-483-5000,,POMONA VALLEY,"21 Rancho Camino Dr #105, Pomona, CA 91766, United States",https://www.acesaba.com/location-phillips-ranch/,34.0257818,-117.7600154,,"Aetna, Blue Cross Blue Shield, Beacon, Blue Cross, Blue Shield",,
35,"BEHAVIORAL HEALTH WORKS, INC.",800-249-1266,,ANAHEIM DOWNEY,"1301 E Orangewood Ave, Anaheim, CA 92805, United States",http://www.bhwcares.com/,33.796735,-117.892677,,,,
36,BEHAVIORAL INTERVENTION SPECIALISTS OF LA,800-258-0659,,WESTSIDE,"11022 Santa Monica Blvd #120, Los Angeles, CA 90025, United States",,34.0481152,-118.4417894,,,,
37,"BEHAVIORAL LEARNING CENTER, INC.",661-254-7086,PALMDALE,"ANTELOPE VALLEY,SAN FERNANDO VALLEY,SANTA CLARITA VALLEY","41769 11th St W Suite A, Palmdale, CA 93551, United States",http://www.blcca.com/,34.6420234,-118.1502789,,Cigna,,
38,BEHAVIORAL LEARNING NETWORK,310-933-4499,ENCINO,WESTSIDE,"16030 Ventura Blvd #490, Encino, CA 91436, United States",https://www.blnautism.com/locations/southern-california/,34.1559134,-118.4824967,,"Aetna, Optum, Magellan, United Healthcare, Medi-Cal, Medicaid, Anthem, Kaiser Permanente",,
39,BRIGHTVIEW BEHAVIORAL HEALTH CENTER,"323-244-8300, 626-432-7270",,SAN GABRIEL VALLEY,"35 N Lake Ave # 710, Pasadena, CA 91101, United States",http://www.brightviewbehavior.com/,34.1468647,-118.1327162,,,,
40,BUTTERFLY EFFECTS,866-530-5601,,SAN FERNANDO VALLEY,"41 N Garfield Ave #207, Alhambra, CA 91801, United States",http://www.abaeffects.com/,34.0958599,-118.1274878,,,,
41,CALIFORNIA BEHAVIORAL CARE,323-744-1314,,EAST LOS ANGELES,"1722 1/2 Colorado Blvd, Los Angeles, CA 90041, United States",http://www.californiabehavioralcare.com/,34.1390506,-118.2045012,,,,
42,CALIFORNIA BEHAVIORAL TREATMENT CENTER,818-574-1440,,CENTRAL LOS ANGELES,"6404 Wilshire Blvd # 1020, Los Angeles, CA 90048, United States",http://www.cbtcalifornia.com/,34.063407,-118.3686593,,,,
43,"CALIFORNIA PEDIATRIC & FAMILY SERVICES, INC.",626-812-0055,,SAN GABRIEL VALLEY,"326 E Foothill Blvd, Azusa, CA 91702, United States",http://www.cal-peds.com/,34.1333331,-117.9044378,,,,
44,CALIFORNIA PSYCHCARE,888-320-1272,"PALMDALE, COVINA, VAN NUYS, MONTEREY PARK, LONG BEACH","ANTELOPE VALLEY,SAN FERNANDO VALLEY,SANTA CLARITA VALLEY,SAN GABRIEL VALLEY,POMONA VALLEY,LONG BEACH","624 Commerce Ave STE E, Palmdale, CA 93551, United States",https://360behavioralhealth.com/city/palmdale/,34.589258,-118.141785,,Medicaid,,
45,CASTILLO BEHAVIOR SERVICES,818-294-2004,,"PALMDALE,LANCASTER,LITTLE ROCK,SANTA CLARITA VALLEY,LAKE LOS ANGELES","624 Commerce Ave STE E, Palmdale, CA 93551, United States",https://360behavioralhealth.com/city/palmdale/,34.589258,-118.141785,,Medicaid,,
46,CBC EDUCATION,805-277-3392,"EL MONTE, SAN GABRIEL","SAN GABRIEL VALLEY,POMONA VALLEY","222 E Las Tunas Dr, San Gabriel, CA 91776, United States",https://cbceducation.net/,34.1027731,-118.0973972,,,,
47,"CENTER FOR APPLIED BEHAVIOR ANALYSIS, LLC",310-997-0571,,WESTSIDE,"11150 W Olympic Blvd # 1160, Los Angeles, CA 90064, United States",http://www.centerforaba.com/,34.039169,-118.4388699,,,,
48,CHILD COUNSELING AND BEHAVIOR THERAPY CLINIC THE SPEECH PATHOLOGY GROUP,818-788-2388,,SAN FERNANDO VALLEY,"15760 Ventura Blvd, Encino, CA 91436, United States",,34.1549772,-118.4763349,,,,
49,"CHILDRENS DEVELOPMENTAL MILESTONES, INC.",818-203-5063,WOODLAND HILLS,SAN FERNANDO VALLEY,"21241 Ventura Blvd, Woodland Hills, CA 91364, United States",http://www.cdmtherapy.com/,34.1678385,-118.5946153,,Beacon,,
50,CIELO BEHAVIOR SERVICES,951-624-7630,,"EAST LA,SOUTH LA,LONG BEACH,HAWAIIAN GARDENS,CARSON,CERRITOS,LAKEWOOD,PARAMOUNT,DOWNEY,BELLFLOWER,COMPTON,NORWALK,SANTA FE SPRINGS,WHITTIER,PICO RIVERA,LA PUENTE,WEST COVINA,COVINA,EL MONTE,MONTEBELLO,CUDAHY,BELL,BELL GARDENS,SOUTHGATE,LYNWOOD,MAYWOOD",,www.cielobehavior.com,34.0224417,-118.1669736,,,,
51,"COMPREHENSIVE EDUCATIONAL SERVICES, INC. DBA (ACES)",949-833-2237,,"GATEWAY CITIES,POMONA VALLEY","4300 Long Beach Blvd Suite 100, Long Beach, CA 90807, United States",https://www.acesaba.com/location-long-beach/,33.8364255,-118.1896314,,"Aetna, Blue Cross Blue Shield, Beacon, Blue Cross, Blue Shield",,
52,"CONNECTING DOT BY DOT, INC.",818-458-5836,,POMONA VALLEY,"1521 W Cameron Ave suite 250, West Covina, CA 91790, United States",http://www.connectingdotbydot.com/,34.06909,-117.9415139,,"MHN, Aetna, Magellan, Cigna, Health Net, Blue Cross, Molina, Humana, Medi-Cal, Anthem",,
53,"CREATIVE BEHAVIORAL CONSULTANTS, INC.",818-932-9644,,SAN FERNANDO VALLEY,"22055 Clarendon St # 208, Woodland Hills, CA 91367, United States",https://www.cbc-autism.com/,34.1698554,-118.6077647,,,,
54,DREAM BIG CHILDREN''S CENTER,909-229-4502,MONROVIA,SAN GABRIEL VALLEY,"612 S Myrtle Ave #100, Monrovia, CA 91016, United States",http://www.dreambigchildren.com/,34.145471,-118.000647,,,,
55,EXCEPTIONAL CHILDREN FOUNDATION,310-773-9371,CULVER CITY,WESTSIDE,"10918 Barman Ave, Culver City, CA 90230, United States",http://www.ecf.net/adults/residential/,34.0081118,-118.4037134,,,,
56,FAMILIAS FIRST: TELLO & ASSOCIATES CORPORATION,"626-444-4840, 626-320-1317","EL MONTE, SAN GABRIEL","SAN GABRIEL VALLEY,POMONA VALLEY,SOUTH CENTRAL LOS ANGELES","222 E Las Tunas Dr, San Gabriel, CA 91776, United States",http://www.familiasfirst.com/,34.1029026,-118.0974055,,,,
57,FAMILY CARE SPECTRUM THERAPIES,323-828-9551,SOUTH GATE,GATEWAY CITIES,"5800 Hannum Ave suite b, Culver City, CA 90230, United States",http://castautism.com/,33.986852,-118.385788,,,,
58,"FIRST STEPS FOR KIDS, INC.",310-374-3300,"WEST LA, REDONDO BEACH, CALABASAS, ALHAMBRA","WESTSIDE,SOUTHBAY,SAN FERNANDO VALLEY,SAN GABRIEL VALLEY,POMONA VALLEY,SOUTH CENTRAL LOS ANGELES","3424 Motor Ave #101, Los Angeles, CA 90034, United States",https://www.firststepsforkids.com/,34.0274778,-118.4089648,,,,
59,"FLEX LEARNING, LLC",562-661-8900,,LONG BEACH,"3777 Long Beach Blvd #400, Long Beach, CA 90807, United States",http://www.learningtreetherapy.com/,33.8264011,-118.1895703,,Anthem,,
60,"FOOTHILL CHILD DEVELOPMENT SERVICES, INC.",818-353-3772,LAKE BALBOA,SAN FERNANDO VALLEY,"16946 Sherman Way, Van Nuys, CA 91406, United States",http://www.foothillchild.com/,34.2008312,-118.5029553,,,,
61,"HOLDING HANDS, INC.",323-938-3434 ext. 118,"DOWNTOWN LA, BURBANK, CALABASAS",CENTRAL LOS ANGELES,"2115 Beverly Blvd, Los Angeles, CA 90057, United States",http://holdinghandsinc.com/,34.06719,-118.27076,,,,
62,HOWARD CHUDLER & ASSOC.,714-529-2549,,POMONA VALLEY,"1274 Center Ct Dr #211, Covina, CA 91724, United States",http://www.alorabh.com/,34.0726097,-117.8642013,,,,
63,HYPERION BEHAVIORAL HEALTH CENTER,818-274-2587,,CENTRAL LOS ANGELES,"1224 Vine St, Los Angeles, CA 90038, United States",https://dmh.lacounty.gov/,34.0933177,-118.32615,,,,
64,ICAN-B,818-616-1069,VAN NUYS,SAN FERNANDO VALLEY,"7141 Woodley Ave, Van Nuys, CA 91406, United States",http://ican-b.com/,34.2005764,-118.4836856,,,,
65,IGCN HEALTHCARE PARTNERS,323-433-4165,,CENTRAL LOS ANGELES,,,34.0689454,-118.3236337,,,,
66,INCLUSIVE EDUCATION & COMMUNITY PARTNERSHIP,805-985-4808,,SAN FERNANDO VALLEY,"13130 Burbank Blvd, Sherman Oaks, CA 91401, United States",http://www.thehelpgroup.org/,34.1716225,-118.4192169,,,,
67,INNOVATIVE BEHAVIORAL THERAPIES,800-807-0305,"MID-WILSHIRE, WHITTIER","CENTAL LOS ANGELES,EAST LOS ANGELES","3700 Wilshire Blvd #435, Los Angeles, CA 90010, United States",https://abatherapies.com/,34.060546,-118.307227,,,,
68,INSPIRA BEHAVIOR AND ADVOCACY SPECIALISTS,844-467-7763,,"SOUTH LOS ANGELES,LONG BEACH","8135 Painter Ave # 201, Whittier, CA 90602, United States",,33.9658131,-118.0330339,,,,
69,INSTITUTE FOR APPLIED BEHAVIOR ANALYSIS (IABA),310-649-0499,,WESTSIDE,"11150 W Olympic Blvd # 1160, Los Angeles, CA 90064, United States",http://www.centerforaba.com/,34.039169,-118.4388699,,,,
70,INSTITUTE FOR EFFECTIVE BEHAVIORAL INTERVENTIONS (IEBI),818-501-0822,ENCINO,"SAN FERNANDO VALLEY,SANTA CLARITA,LOS ANGELES","15335 Morrison St, Sherman Oaks, CA 91403, United States",http://www.iebionline.com/,34.161187,-118.4678263,,,,
71,"JADE BEHAVIORAL CONSULTANTS, INC.",714-829-4138,,"LONG BEACH,COMPTON,DOWNEY","2115 W Crescent Ave #244, Anaheim, CA 92801, United States",https://www.jadebehavioralconsultants.org/,33.8405581,-117.9557599,,,,
72,JENNIFER KEANY & ASSOCIATES,310-287-0382,,"TORRANCE/GARDENA/MANHATTAN BEACH/BRENTWOOD,WESTWOOD,BEVERLY HILLS,MID-WILSHIRE/ SANTA MONICA","8936 S Sepulveda Blvd Ste 200, Los Angeles, CA 90045, United States",,33.9549698,-118.3958168,,,,
73,KYO AUTISM THERAPY,877-539-7730,,"SAN GABRIEL VALLEY,CENTRAL LOS ANGELES","200 E Del Mar Blvd STE 112, Pasadena, CA 91105, United States",https://kyocare.com/,34.1400114,-118.1466382,,,,
74,LEAPS N BOUNDZ,310-821-0963,,WESTSIDE,"5433 Beethoven St, Los Angeles, CA 90066, United States",http://leapsnboundz.com/,33.9768003,-118.4222432,,,,
75,LEARNING BEHAVIORAL CENTER LLC,818-705-5522,TARZANA,SAN FERNANDO VALLEY,"5554 Reseda Blvd #203, Tarzana, CA 91356, United States",http://www.learningandbehavioralcenter.com/,34.1713115,-118.5358242,,,,
76,LOVAAS INSTITUTE FOR EARLY INTERVENTION,818-231-2400,,WESTSIDE,"5601 W Slauson Ave Suite 266, Culver City, CA 90230, United States",http://www.lovaas.com/,33.9896141,-118.3799525,,,,
77,LUMARY THERAPY,818-638-9586,,SAN FERNANDO VALLEY,"3210 W Burbank Blvd B, Burbank, CA 91505, United States",https://www.lumarytherapy.com/,34.1760901,-118.3455682,,,,
78,LUNA BEHAVIORAL HEALTH TREATMENT,949-989-6932,CITY OF ORANGE,"DOWNEY,NORWALK,CERRITOS,LA PALMA,WHITTIER,SANTA FE,LYNWOOD,COMPTON,COMMERCE,BELL GARDEN,MONTEBELLO,BELLFLOWER","9010 SW 137th Ave #233, Miami, FL 33186, United States",https://lunabehavior.com/,25.6830648,-80.4176099,,,,
79,MAXIM HEALTHCARE SERVICES,310-819-4523,,"SOUTH LOS ANGELES,POMONA VALLEY","3255 Wilshire Blvd Suite 700, Los Angeles, CA 90010, United States",,34.0622482,-118.2932295,,,,
80,"MCRORY BEHAVIORAL AND FAMILY SUPPORT SERVICES, INC.",818-501-8352,,SAN FERNANDO VALLEY,"19019 Ventura Blvd, Tarzana, CA 91356, United States",http://www.mcrorypediatrics.com/,34.17274,-118.5482777,,,,
81,"MHDCI, LLC",818-288-3460,,CENTRAL LOS ANGELES,"3580 Wilshire Blvd # 2000, Los Angeles, CA 90010, United States",http://www.imces.org/,34.061114,-118.302815,,,,
82,MONARCH CENTER FOR DEVELOPMENTAL SERVICES,818-649-0153,GLENDALE,SAN FERNANDO VALLEY,"425 W Broadway #450, Glendale, CA 91204, United States",https://monarchcenterla.com/,34.1471452,-118.2626208,,,,
83,"myHHBS, INC.",323-795-2054,"GLENDALE, LOS ANGELES, SANTA CLARITA","SAN FERNANDO VALLEY,SANTA CLARITA,HOLLYWOOD,POMONA,SOUTH LA,EAST LA,SANTA MONICA,WEST LA,LONG BEACH","237 N Central Ave STE A, Glendale, CA 91203, United States",http://www.myhhbs.com/,34.1494263,-118.2580902,,"MHN, Aetna, Magellan, Cigna, Beacon, Blue Cross, Humana, Blue Shield, Anthem",,
84,NOGA KLAIN,310-692-4229,,WESTSIDE,"879 W 190th St Suite 400, Gardena, CA 90248, United States",http://nogaklain.com/,33.860126,-118.289242,,,,
85,NURTURE & NATURE,818-538-6539,,"SAN FERNANDO VALLEY,SOUTH LOS ANGELES","12750 Ventura Blvd, Studio City, CA 91604, United States",http://www.nurtureandnatureaba.com/contact,34.1445782,-118.4112154,,,,
86,OHANA BEHAVIORAL GROUP,562-454-7998,,"GATEWAY CITIES,SOUTH & EAST LOS ANGELES","6 Lower Ragsdale Dr, Monterey, CA 93940, United States",https://www.montagehealth.org/locations/profile/ohana/,36.5752499,-121.820136,,,,
87,"OPTIMA FAMILY SERVICES, INC.",818-844-3376,,SAN GABRIEL VALLEY,"150 S Los Robles Ave Suite # 950, Pasadena, CA 91101, United States",http://www.optimafamilyservices.com/,34.1433663,-118.1408838,,"Medi-Cal, UHC, Blue Cross",,
88,PENINSULA HEALTH PARTNERS,310-606-1349,,"HARBOR/ SOUTH BAY: LONG BEACH,WEST LOS ANGELES,SOUTH AND EAST LOS ANGELES","On the street level, facing Hawthorne, 22330 Hawthorne Blvd suite j, Torrance, CA 90505, United States",https://www.penhcc.com/,33.8245486,-118.3502913,,,,
89,POSITIVE BEHAVIOR SUPPORTS CORPORATION,855-832-6727,,"WESTSIDE,SOUTH BAY,SOUTH LA,SAN FERNANDO VALLEY","8832 Syracuse Ave, Anaheim, CA 92804, United States",https://www.teampbs.com/aba_therapy.aspx?Region=CA&RegionName=LA%20Metro,33.8051303,-117.9785553,,"Magellan, Medicaid, Beacon, CalOptima, Molina, Blue Shield, Anthem",,
90,PROMISE ABA LLC,818-748-3390,BURBANK,SAN FERNANDO VALLEY,"217 E Alameda Ave #301, Burbank, CA 91502, United States",http://promiseaba.com/,34.1753288,-118.2994158,,,,
91,"QUANTUM BEHAVIORAL SOLUTIONS, INC.",626-531-6999,,SAN FERNANDO VALLEY,"440 E Huntington Dr # 300, Arcadia, CA 91006, United States",http://www.quantumbehavioralsolutions.com/,34.139065,-118.021951,,,,
92,REACH INTEGRATED SERVICES,626-741-5401,,SAN GABRIEL VALLEY,"7200 Greenleaf Ave #140, Whittier, CA 90602, United States",http://www.reach.services/,33.9770756,-118.0371269,,,,
93,SAGE BEHAVIOR SERVICES,714-773-0077,,"LONG BEACH,CERRITOS,NORWALK,LANCASTER","4105 E Broadway # 102, Long Beach, CA 90803, United States",,33.7646386,-118.1446014,,,,
94,SHABANI INSTITUTE/CENTER FOR BEHAVIOR ANALYSIS & LANGUAGE DEVELOPMENT,310-310-2931,,SOUTH LOS ANGELES,"982 Artesia Blvd, Hermosa Beach, CA 90254, United States",http://shabani-institute.com/,33.8725239,-118.3931065,,,,
95,SIERRA MADRE LEARNING CENTER TOTAL PROGRAMS LLC,626-355-5160,,"SAN GABRIEL VALLEY,PALMDALE","370 W Sierra Madre Blvd # B, Sierra Madre, CA 91024, United States",https://www.totalprograms.org/,34.1617167,-118.060386,,,,
96,SPECIAL EDUCATION FOR EXCEPTIONAL KIDS DBA (SEEK) EDUCATION INC.,626-943-7772,,SAN GABRIEL VALLEY,"9060 Huntington Dr, San Gabriel, CA 91775, United States",http://www.seekeducation.org/,34.1301427,-118.0710128,,,,
97,"SPECIAL NEEDS NETWORK, INC.",323-291-7100,,"SOUTH LOS ANGELES,LONG BEACH,SAN FERNANDO VALLLEY,SAN GABRIEL VALLEY,PASADENA","4401 Crenshaw Blvd suite 215, View Park, CA 90043, United States",http://www.snnla.org/,34.0033319,-118.3319603,,,,
98,SPECTRUM SOLUTIONS THERAPY,562-444-5026,,GATEWAY CITIES,"16900 Lakewood Blvd #212, Bellflower, CA 90706, United States",https://sstaba.com/,33.8804705,-118.1418858,,,,
99,"SPEECH, LANGUAGE and EDUCATIONAL ASSOCIATES",818-616-5013,,"SAN FERNANDO VALLEY,ANTELOPE VALLEY,LOS ANGELES COUNTY,SAN GABRIEL VALLEY","16500 Ventura Blvd, Encino, CA 91436, United States",http://www.sleatherapies.com/,34.15742670000000,-118.4927224,,,,
